fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.0,0.00512,0.0127,0.84612,0.00063,3.17301,0.63153,11.73675,0.4742,2.51847,0.04123,0.58046,0.46788,0.0,0.11803,0.59844,0.00259,0.0,0.00378,0.3981,0.00208,1.0,0.0,0.0027,0.00776,2
0.0,0.00543,0.01235,0.94388,0.001,4.30234,0.89403,10.82063,0.83686,3.12988,0.01683,0.79719,0.44699,0.02051,0.08083,0.5822,0.0,7e-05,0.00725,0.43052,0.0,0.96852,0.0117,0.00318,0.00529,2
0.0,0.00466,0.01651,0.88664,0.00088,3.33349,0.95,11.18365,0.91885,2.29308,0.06301,0.68404,0.3915,0.0,0.08041,0.63086,0.00337,0.00038,0.00939,0.38703,0.00381,0.93296,0.0,0.00237,0.00211,2
0.0,0.01,0.01107,0.98,0.00095,2.95158,0.66209,6.90181,0.9534,1.56122,0.02534,0.44869,0.4791,0.0013,0.08482,0.56342,0.00153,0.001,0.00909,0.37494,0.00235,0.77065,0.01342,0.0005,0.0046,2
0.0,0.00969,0.01,0.92695,0.00042,3.05376,0.79783,9.65256,0.34359,1.31126,0.04984,0.86765,0.6654,0.0064,0.10096,0.70059,0.00172,0.001,0.00369,0.52395,0.00268,0.98009,0.01771,0.00178,0.00959,2
0.0,0.01,0.01123,0.90283,0.0,3.25885,0.50336,8.90776,0.80723,1.4137,0.02277,0.87893,0.57822,0.00775,0.10954,0.66947,0.0046,0.0001,0.00358,0.47705,0.0,0.97124,0.01724,0.00166,0.00845,2
0.0,0.00605,0.01,0.8623,0.00084,3.13526,0.61405,8.7927,0.98458,2.24747,0.04405,0.5405,0.46375,0.00473,0.09166,0.46185,0.00338,0.00096,0.00874,0.51963,0.00209,1.0,0.02503,0.00156,0.00433,2
0.0,0.00784,0.01333,0.89627,0.00057,3.33242,0.83407,6.16685,0.4798,2.78552,0.01612,0.68727,0.60392,0.0018,0.11548,0.65087,0.00052,0.00093,0.00901,0.45648,0.0003,0.99666,0.01571,0.00083,0.00106,2
0.0,0.00861,0.01126,0.88676,0.0,3.28435,0.6096,8.11071,1.11299,1.78469,0.03318,0.75615,0.48007,0.00412,0.05905,0.47916,0.0,0.00074,0.00562,0.44574,0.00367,0.84204,0.01561,0.00107,0.0,2
0.0,0.00945,0.01148,0.93215,0.00014,3.18132,0.53942,9.1234,0.65722,2.46269,0.03821,0.73638,0.35254,0.00571,0.13241,0.39552,0.00163,0.00058,0.00262,0.45994,0.0,0.9349,0.00638,0.00103,0.00697,2
0.0,0.00992,0.0119,0.98,4e-05,3.03416,0.49176,12.51913,0.53167,1.75749,0.02657,0.69573,0.56485,0.00537,0.11316,0.51379,0.00386,0.00053,0.0,0.39424,0.00032,0.79894,0.00879,0.0007,0.0,2
